Nom;Ticker;Coef;Days;DE_Ratio;Fair_Value;Date_MAJ;Best_MT;Best_CT
Airbnb;ABNB;0.79;730;32;176.756;01/09/2026;60;30
Akamai Technologies;AKAM;0.79;730;196.67;157.431;01/09/2026;60;30
Albemarle Corporation;ALB;0.79;730;18.98;172.564;01/09/2026;60;30
Alexandria Real Estate Equities;ARE;0.79;730;68.67;53;01/09/2026;60;30
Align Technology;ALGN;0.79;730;2.85;208.6;01/09/2026;60;30
Allegion;ALLE;0.79;730;104.89;174.636;01/09/2026;60;30
Alliant Energy;LNT;0.79;730;160.95;78.042;01/09/2026;60;30
Allstate;ALL;0.79;730;22.26;274.091;01/09/2026;60;30
Alphabet A;GOOGL;0.79;730;18.86;428.067;01/09/2026;60;30
Alphabet C;GOOG;0.79;730;18.86;422.336;01/09/2026;60;30
Altria;MO;0.8;730;nan;70;01/09/2026;60;20
Amazon;AMZN;0.79;730;45.62;327.671;01/09/2026;60;30
Amcor;AMCR;0.79;730;128.29;49.935;01/09/2026;60;30
Ameren;AEE;0.79;730;157.85;120.4;01/09/2026;60;30
American Electric Power;AEP;0.79;730;160.79;144;01/09/2026;60;30
American Express;AXP;0.79;730;172.38;375.956;01/09/2026;60;30
American International Group;AIG;0.79;730;22.47;88.5;01/09/2026;60;30
American Tower;AMT;0.79;730;438.72;215.696;01/09/2026;60;30
American Water Works;AWK;0.79;730;137.75;140.364;01/09/2026;60;30
Ameriprise Financial;AMP;0.79;730;67.58;579.455;01/09/2026;60;30
Ametek;AME;0.79;730;20.52;277.5;01/09/2026;60;30
Amgen;AMGN;0.79;730;490.28;388.483;01/09/2026;60;30
Amphenol;APH;0.79;730;120.42;192.118;01/09/2026;60;30
Analog Devices;ADI;0.79;730;27.31;470.25;01/09/2026;60;30
Aon plc;AON;0.79;730;163.48;404.053;01/09/2026;60;30
APA Corporation;APA;0.79;730;48.85;43.875;01/09/2026;60;30
