Nom;Ticker;Coef;Days;DE_Ratio;Fair_Value;Date_MAJ;Best_MT;Best_CT
LyondellBasell;LYB;0.79;730;132.76;68.353;01/09/2026;60;30
M&T Bank;MTB;1;730;nan;257.25;01/09/2026;40;20
Marathon Petroleum;MPC;0.79;730;133.33;324.556;01/09/2026;60;30
Marriott International;MAR;2;730;nan;380.64;01/09/2026;40;20
Marsh McLennan;MRSH;0.79;730;145.03;207.095;01/09/2026;60;30
Martin Marietta Materials;MLM;0.79;730;54.95;661.542;01/09/2026;60;30
Masco;MAS;0.79;730;nan;80.611;01/09/2026;60;30
Mastercard;MA;0.79;730;439.58;670.919;01/09/2026;60;30
Match Group;MTCH;1;730;nan;41.882;01/09/2026;40;20
McCormick & Company;MKC;0.79;730;65.14;60.615;01/09/2026;60;30
McDonald's;MCD;0.8;730;nan;315.387;01/09/2026;40;30
McKesson Corporation;MCK;0.79;730;nan;986.938;01/09/2026;60;30
Medtronic;MDT;0.79;730;58.21;98.84;01/09/2026;60;30
Merck & Co.;MRK;0.79;730;128.41;148.731;01/09/2026;60;30
Meta Platforms;META;0.79;730;43;754.774;01/09/2026;60;30
MetLife;MET;0.79;730;179.93;105.062;01/09/2026;60;30
Mettler Toledo;MTD;0.5;730;16668.45;1468.909;01/09/2026;40;10
MGM Resorts;MGM;0.79;730;893.31;50.628;01/09/2026;60;30
Microchip Technology;MCHP;0.79;730;83.69;108.64;01/09/2026;60;30
Micron Technology;MU;0.79;730;6.33;1513.409;01/09/2026;60;30
Microsoft;MSFT;0.79;730;29.12;569.454;01/09/2026;60;30
Mid-America Apartment Communities;MAA;0.79;730;102.38;143.84;01/09/2026;60;30
Moderna;MRNA;0.79;730;19.04;110.353;01/09/2026;60;30
Molina Healthcare;MOH;0.79;730;94.77;209.118;01/09/2026;60;30
Molson Coors Beverage Company;TAP;0.79;730;76.03;45.476;01/09/2026;60;30
Mondelez International;MDLZ;0.79;730;82.64;69.13;01/09/2026;60;30
Monolithic Power Systems;MPWR;2;730;0.49;1842.643;01/09/2026;40;20
Monster Beverage;MNST;0.79;730;0.99;50.261;01/09/2026;60;30
Moody's Corporation;MCO;0.79;730;240.68;560.476;01/09/2026;60;30
Morgan Stanley;MS;0.79;730;517.28;236.619;01/09/2026;60;30
Mosaic Company (The);MOS;0.79;730;52.25;26.468;01/09/2026;60;30
Motorola Solutions;MSI;0.79;730;357.85;526.818;01/09/2026;60;30
MSCI Inc.;MSCI;2;730;nan;692.059;01/09/2026;50;30
Nasdaq Inc.;NDAQ;0.79;730;77.69;109.8;01/09/2026;60;30
NetApp;NTAP;0.79;730;202.29;187.562;01/09/2026;60;30
Netflix;NFLX;0.79;730;55.24;93.66;01/09/2026;60;30
Newmont;NEM;0.79;730;15.81;132.867;01/09/2026;60;30
News Corp A;NWSA;0.79;730;31.56;36.163;01/09/2026;60;30
News Corp B;NWS;0.79;730;31.56;23.534;01/09/2026;60;30
NextEra Energy;NEE;0.79;730;161.68;98.389;01/09/2026;60;30
Nike Inc.;NKE;0.79;730;74.29;50.518;01/09/2026;60;30
NiSource;NI;0.79;730;146.65;49.929;01/09/2026;60;30
Nordson Corporation;NDSN;0.79;730;55.62;349.714;01/09/2026;60;30
Norfolk Southern;NSC;0.79;730;105.52;365.278;01/09/2026;60;30
Northern Trust;NTRS;0.5;730;nan;184.269;01/09/2026;40;30
Northrop Grumman;NOC;0.79;730;95.35;647.143;01/09/2026;60;30
Norwegian Cruise Line Holdings;NCLH;0.79;730;621.05;20.68;01/09/2026;60;30
NRG Energy;NRG;0.79;730;483.36;188.75;01/09/2026;60;30
Nucor;NUE;0.79;730;30.51;282.812;01/09/2026;60;30
Nvidia;NVDA;0.79;730;16.97;323.419;01/09/2026;60;30
NVR Inc.;NVR;0.79;730;32.15;6782;01/09/2026;60;30
NXP Semiconductors;NXPI;0.79;730;93.33;311.103;01/09/2026;60;30
O’Reilly Automotive;ORLY;0.79;730;nan;107.8;01/09/2026;60;30
Occidental Petroleum;OXY;0.79;730;34.51;66.826;01/09/2026;60;30
Old Dominion;ODFL;0.79;730;0.44;232.136;01/09/2026;60;30
Omnicom Group;OMC;0.79;730;107.74;102.083;01/09/2026;60;30
ON Semiconductor;ON;0.79;730;65.06;107.68;01/09/2026;60;30
Oneok;OKE;0.79;730;143.07;96.619;01/09/2026;60;30
Oracle Corporation;ORCL;0.79;730;388.87;244.118;01/09/2026;60;30
Otis Worldwide;OTIS;0.79;730;nan;88.833;01/09/2026;60;30
Paccar;PCAR;0.79;730;72.91;141.029;01/09/2026;60;30
Packaging Corporation of America;PKG;0.79;730;94.47;260.5;01/09/2026;60;30
Palantir Technologies;PLTR;0.79;730;2.14;191.68;01/09/2026;60;30
Palo Alto Networks;PANW;0.79;730;7.7;364.014;01/09/2026;60;30
Paramount Skydance;PSKY;0.79;730;126.48;9.693;01/09/2026;60;30
Parker Hannifin;PH;0.79;730;56.66;1160.954;01/09/2026;60;30
Paychex;PAYX;0.79;730;123.97;113.714;01/09/2026;60;30
Paycom;PAYC;0.79;730;171.97;211.562;01/09/2026;60;30
PayPal;PYPL;0.79;730;71.75;59.81;01/09/2026;60;30
Pentair;PNR;0.79;730;47.07;76.308;01/09/2026;60;30
PepsiCo;PEP;0.79;730;238.95;155;01/09/2026;60;30
Pfizer;PFE;0.79;730;74.25;28.606;01/09/2026;60;30
PG&E Corporation;PCG;0.79;730;189.45;22.219;01/09/2026;60;30
Philip Morris International;PM;0.8;730;nan;203.8;01/09/2026;50;20
Phillips 66;PSX;0.79;730;62.88;222;01/09/2026;60;30
Pinnacle West Capital;PNW;0.79;730;233.29;105.846;01/09/2026;60;30
PNC Financial Services;PNC;0.79;730;nan;277.725;01/09/2026;50;10
Pool Corporation;POOL;0.79;730;134.54;219.5;01/09/2026;60;30
PPG Industries;PPG;0.79;730;86.94;126.2;01/09/2026;60;30
PPL Corporation;PPL;0.79;730;135.43;40.929;01/09/2026;60;30
Principal Financial Group;PFG;0.79;730;35.31;109.583;01/09/2026;60;30
Procore Tech;PCOR;0.79;730;5.28;68.55;01/09/2026;60;30
Procter & Gamble;PG;0.79;730;64.49;160.609;01/09/2026;60;30
Progressive Corporation;PGR;0.79;730;24.43;232;01/09/2026;60;30
Prologis;PLD;0.79;730;63.82;158.308;01/09/2026;60;30
Prudential Financial;PRU;0.79;730;163.89;113.4;01/09/2026;60;30
Pasqal Holding SA;PSQL;0.79;730;17.2;17.2;01/09/2026;60;30
Public Service Enterprise Group;PEG;0.79;730;142.41;85.472;01/09/2026;60;30
PTC Inc.;PTC;0.79;730;46.34;173.35;01/09/2026;60;30
Public Storage;PSA;0.79;730;109.63;337.765;01/09/2026;60;30
PulteGroup;PHM;0.79;730;19.07;141.857;01/09/2026;60;30
Quanta Services;PWR;0.79;730;67.78;770.042;01/09/2026;60;30
Qualcomm;QCOM;0.79;730;55.21;193.1;01/09/2026;60;30
Quest Diagnostics;DGX;0.79;730;81.07;245.867;01/09/2026;60;30
Qnity Electronics;Q;0.79;730;59.99;176.75;01/09/2026;60;30
Ralph Lauren Corporation;RL;0.79;730;110.37;446.706;01/09/2026;60;30
Raymond James Financial;RJF;0.79;730;47.59;185.917;01/09/2026;60;30
RTX Corporation;RTX;0.79;730;57.02;234.818;01/09/2026;60;30
Realty Income;O;0.79;730;74.72;68.213;01/09/2026;60;30
Regency Centers;REG;0.79;730;71.97;87.056;01/09/2026;60;30
Regeneron Pharmaceuticals;REGN;0.79;730;8.54;840.428;01/09/2026;60;30
Regions Financial Corporation;RF;0.5;730;nan;32.943;01/09/2026;40;10
Republic Services;RSG;0.79;730;118.8;245.917;01/09/2026;60;30
ResMed;RMD;0.79;730;12.54;245.5;01/09/2026;60;30
Revvity;RVTY;0.79;730;46.23;121.067;01/09/2026;60;30
Robinhood Markets;HOOD;0.79;730;240.28;121.505;01/09/2026;60;30
Rockwell Automation;ROK;0.79;730;103.35;477.792;01/09/2026;60;30
Rollins Inc.;ROL;0.79;730;78.02;45.588;01/09/2026;60;30
Roper Technologies;ROP;0.79;730;60.53;445.2;01/09/2026;60;30
Ross Stores;ROST;0.79;730;70.28;269.944;01/09/2026;60;30
Royal Caribbean Group;RCL;0.79;730;224.82;346.923;01/09/2026;60;30
S&P Global;SPGI;0.79;730;42.98;519.3;01/09/2026;60;30
Salesforce;CRM;0.79;730;110.42;266.484;01/09/2026;60;30
Sandisk;SNDK;0.79;730;1.28;2125.087;01/09/2026;60;30
SBA Communications;SBAC;0.79;730;nan;226.4;01/09/2026;60;30
Schlumberger;SLB;0.79;730;47;61.931;01/09/2026;60;30
Seagate Technology;STX;0.79;730;179.88;1125;01/09/2026;60;30
Sempra;SRE;0.79;730;84.66;104.382;01/09/2026;60;30
Semtech;SMTC;0.79;730;70.11;209.286;01/09/2026;60;30
ServiceNow;NOW;0.79;730;67.54;142.232;01/09/2026;60;30
Sherwin-Williams;SHW;0.79;730;389.96;391;01/09/2026;60;30
Simon Property Group;SPG;0.79;730;503.5;236.895;01/09/2026;60;30
Skyworks Solutions;SWKS;0.79;730;11.87;68.375;01/09/2026;60;30
J.M. Smucker Company;SJM;0.79;730;120.68;141.438;01/09/2026;60;30
Smurfit Westrock;SW;0.79;730;78.43;56.719;01/09/2026;60;30
Snap-on;SNA;0.79;730;21.59;413.778;01/09/2026;60;30
Solventum;SOLV;0.79;730;110.31;93.923;01/09/2026;60;30
Southern Company;SO;0.79;730;182.06;100.289;01/09/2026;60;30
Southwest Airlines;LUV;0.79;730;97.28;51.309;01/09/2026;60;30
Stanley Black & Decker;SWK;0.79;730;58.17;99.364;01/09/2026;60;30
Starbucks;SBUX;1;730;nan;112.226;01/09/2026;60;30
State Street Corporation;STT;2;730;nan;199.5;01/09/2026;40;20
Steel Dynamics;STLD;0.79;730;46.92;271.214;01/09/2026;60;30
Steris;STE;0.79;730;28.31;263.125;01/09/2026;60;30
Stryker Corporation;SYK;0.79;730;64.39;382.72;01/09/2026;60;30
Supermicro;SMCI;0.79;730;64.31;42.375;01/09/2026;60;30
Synchrony Financial;SYF;2;730;nan;89.304;01/09/2026;40;30
Synopsys;SNPS;0.79;730;34.8;544.972;01/09/2026;60;30
Sysco;SYY;0.79;730;564.59;90.308;01/09/2026;60;30
T-Mobile US;TMUS;0.79;730;214.03;243.375;01/09/2026;60;30
T. Rowe Price;TROW;0.79;730;3.7;109.583;01/09/2026;60;30
Take-Two Interactive;TTWO;0.79;730;81.61;286.89;01/09/2026;60;30
Tapestry Inc.;TPR;0.79;730;571.61;167.4;01/09/2026;60;30
Targa Resources;TRGP;0.79;730;515.79;308.095;01/09/2026;60;30
Target Corporation;TGT;0.79;730;106.99;161.618;01/09/2026;60;30
TE Connectivity;TEL;0.79;730;43.44;246.789;01/09/2026;60;30
Teledyne Technologies;TDY;0.79;730;18.57;757.25;01/09/2026;60;30
Teradyne;TER;0.79;730;2.88;446.467;01/09/2026;60;30
TeraWulf inc;WULF;1;730;;36.61;01/09/2026;60;30
Tesla Inc.;TSLA;0.79;730;18.37;390.093;01/09/2026;60;30
Texas Instruments;TXN;0.79;730;78.04;324.71;01/09/2026;60;30
Texas Pacific Land;TPL;2;730;1.08;442;01/09/2026;60;30
Textron;TXT;0.79;730;52.28;102.067;01/09/2026;60;30
Thermo Fisher Scientific;TMO;0.79;730;80.58;631.423;01/09/2026;60;30
TJX Companies;TJX;0.79;730;134.42;170.4;01/09/2026;60;30
TKO Group Holdings;TKO;0.79;730;59.22;231.158;01/09/2026;60;30
Trade Desk (The);TTD;0.79;730;16.86;13.387;01/09/2026;60;30
Tractor Supply;TSCO;0.79;730;248.71;35.519;01/09/2026;60;30
Trane Technologies;TT;0.79;730;53.4;526.991;01/09/2026;60;30
TransDigm Group;TDG;0.8;730;nan;1522.789;01/09/2026;40;20
Travelers Companies;TRV;0.79;730;27.38;360.333;01/09/2026;60;30
Trimble Inc.;TRMB;0.79;730;28.55;80.182;01/09/2026;60;30
Truist Financial;TFC;2;730;nan;55.361;01/09/2026;50;30
Tyler Technologies;TYL;0.79;730;47.91;426.636;01/09/2026;60;30
Tyson Foods;TSN;0.79;730;44.02;68.75;01/09/2026;60;30
U.S. Bancorp;USB;2;730;nan;70.318;01/09/2026;60;10
Uber;UBER;0.79;730;51.87;101.849;01/09/2026;60;30
UDR Inc.;UDR;0.79;730;156.14;42.071;01/09/2026;60;30
Ulta Beauty;ULTA;0.79;730;95.47;624.083;01/09/2026;60;30
Union Pacific;UNP;0.79;730;150.77;329.25;01/09/2026;60;30
United Airlines;UAL;0.79;730;201.64;161.413;01/09/2026;60;30
United Parcel Service;UPS;0.79;730;189.9;116.077;01/09/2026;60;30
United Rentals;URI;0.79;730;166.79;1272.429;01/09/2026;60;30
UnitedHealth Group;UNH;0.79;730;69.21;475.231;01/09/2026;60;30
Universal Health Services;UHS;0.79;730;68.74;193.941;01/09/2026;60;30
Valero Energy;VLO;0.79;730;40.15;317.895;01/09/2026;60;30
Ventas;VTR;0.79;730;84.93;100.591;01/09/2026;60;30
Veralto;VLTO;0.79;730;115.98;113.333;01/09/2026;60;30
Verisign;VRSN;0.5;730;nan;318;01/09/2026;50;10
Verisk Analytics;VRSK;0.79;730;nan;237.706;01/09/2026;60;30
Verizon;VZ;0.79;730;184.08;51.557;01/09/2026;60;30
Vertex Pharmaceuticals;VRTX;0.79;730;9.77;563.12;01/09/2026;60;30
Viatris;VTRS;0.79;730;95.53;18.5;01/09/2026;60;30
Vici Properties;VICI;0.79;730;60.28;32.5;01/09/2026;60;30
Visa Inc.;V;0.79;730;67.82;419.362;01/09/2026;60;30
Vistra Corp.;VST;0.79;730;373.28;217.421;01/09/2026;60;30
Vulcan Materials;VMC;0.79;730;58.22;325.739;01/09/2026;60;30
W. R. Berkley Corporation;WRB;0.79;730;31.53;69.529;01/09/2026;60;30
W.W. Grainger;GWW;0.79;730;61.98;1332.571;01/09/2026;60;30
Wabtec;WAB;0.79;730;61.69;329.167;01/09/2026;60;30
Walmart;WMT;0.79;730;70.38;127.725;01/09/2026;60;30
Walt Disney Company;DIS;0.79;730;39.4;127.843;01/09/2026;60;30
Warner Bros. Discovery;WBD;0.79;730;94.2;29.818;01/09/2026;60;30
Waste Management;WM;0.79;730;235.3;259.92;01/09/2026;60;30
Waters Corporation;WAT;0.79;730;36.05;439.478;01/09/2026;60;30
WEC Energy Group;WEC;0.79;730;157.99;121.618;01/09/2026;60;30
Wells Fargo;WFC;0.8;730;nan;100.239;01/09/2026;40;10
Welltower;WELL;0.79;730;41.38;256.955;01/09/2026;60;30
West Pharmaceutical Services;WST;0.79;730;10.59;404.733;01/09/2026;60;30
Western Digital;WDC;2;730;13.44;664.917;01/09/2026;40;20
Weyerhaeuser;WY;0.79;730;57.62;31.273;01/09/2026;60;30
Williams-Sonoma;WSM;0.79;730;71.37;248.1;01/09/2026;60;30
Williams Companies;WMB;0.79;730;200.37;85.25;01/09/2026;60;30
Willis Towers Watson;WTW;0.79;730;91.39;379.947;01/09/2026;60;30
Workday Inc.;WDAY;0.79;730;58.39;206.682;01/09/2026;60;30
Wynn Resorts;WYNN;0.8;730;nan;132.584;01/09/2026;40;10
Xcel Energy;XEL;0.79;730;173.13;91.765;01/09/2026;60;30
Xylem Inc.;XYL;0.79;730;28.64;153.875;01/09/2026;60;30
Yum! Brands;YUM;0.8;730;nan;173.336;01/09/2026;40;30
Zebra Technologies;ZBRA;0.79;730;86.23;412.867;01/09/2026;60;30
Zimmer Biomet;ZBH;0.79;730;60.17;107.571;01/09/2026;60;30
Zoetis;ZTS;0.79;730;294;96;01/09/2026;60;30
Sayona Min;SYA.AX;0.79;730;nan;nan;28/02/2026;60;30
De Grey Min;DEG.AX;0.79;730;nan;nan;01/09/2026;60;30
Core Lithium;CXO.AX;0.79;730;1.39;0.3;01/09/2026;60;30
Paladin Energy;PDN.AX;0.79;730;17.28;12.816;01/09/2026;60;30
Lake Resources;LKE.AX;0.79;730;0.62;0.098;01/09/2026;60;30
Gold Mountain;GMN.AX;0.79;730;nan;0.115;01/09/2026;60;30
Larvotto Res;LRV.AX;0.79;730;146.01;1.5;01/09/2026;60;30
Auric Mining;AWJ.AX;0.79;730;nan;0.579;01/09/2026;60;30
Nickel Ind;NIC.AX;0.79;730;9;1.226;01/09/2026;60;30
Jupiter Mines;JMS.AX;0.79;730;0.03;0.33;01/09/2026;60;30
Argosy Min;AGY.AX;0.79;730;0.11;0.084;01/09/2026;60;30
Green Tech;GT1.AX;0.79;730;0.09;0.16;01/09/2026;60;30
Gascoyne Res;GCY.AX;0.79;730;nan;nan;01/09/2026;60;30
BitCoin;BTC-EUR;0.79;730;nan;nan;28/02/2026;60;30
Ethereum;ETH-EUR;0.79;730;nan;nan;28/02/2026;60;30
Solana;SOL-EUR;0.79;730;nan;nan;28/02/2026;40;10
